subject_norm,sender_domain,count,first_seen,last_seen,example_subject
"remember, if you smoke after sex you're doing it too fast.",arsisgmbh.ch,1,2005-04-19T19:35:50-08:00,2005-04-19T19:35:50-08:00,"Remember, if you smoke after sex you're doing it too fast."
"first-grade replica masterpiece! super, 100% as described.",baku.az,1,2005-10-26T08:18:34-09:00,2005-10-26T08:18:34-09:00,"First-grade replica masterpiece! Super, 100% as described."
layoffs beginning this week,bonbon.net,1,2005-10-23T01:58:38-04:00,2005-10-23T01:58:38-04:00,Layoffs beginning this week
work at home,canoemail.com,1,2005-10-23T12:36:15-05:00,2005-10-23T12:36:15-05:00,Work at home
full color business cards at no charge,empirespecialty.com,1,2005-10-25T07:10:08-05:00,2005-10-25T07:10:08-05:00,Full Color Business Cards at No Charge
better degree-better pay!,glasgow.cx,1,2005-10-20T22:22:45-08:00,2005-10-20T22:22:45-08:00,Better degree-better pay!
be stylish: get* a new fall wardrobe here!,greatendeavor.com,1,2005-10-25T00:08:03-05:00,2005-10-25T00:08:03-05:00,Be Stylish: Get* a New Fall Wardrobe Here!
complimentary full color business cards,greatendeavor.com,1,2005-10-26T06:50:16-05:00,2005-10-26T06:50:16-05:00,Complimentary Full Color Business Cards
"$2,400 in free casino cash",hotmail.com,1,2005-10-27T13:07:44-01:00,2005-10-27T13:07:44-01:00,"$2,400 in free casino cash"
complimentary full color business cards,liquidoffers.com,1,2005-10-25T17:14:56-05:00,2005-10-25T17:14:56-05:00,Complimentary Full Color Business Cards
work at home,lpemail.com,1,2005-10-23T22:36:44+05:00,2005-10-23T22:36:44+05:00,Work at home
"linux-kernel,your dog can be the best learner you've ever had.",msn.com,1,2005-10-25T19:39:35+00:00,2005-10-25T19:39:35+00:00,"Linux-kernel,Your dog can be the best learner you've ever had."
claim 250 full-color business cards,onlogixx.com,1,2005-10-25T10:49:07,2005-10-25T10:49:07,Claim 250 Full-Color Business Cards
color business cards for just the cost of shipping,onlogixx.com,1,2005-10-25T20:52:05,2005-10-25T20:52:05,Color Business Cards for Just the Cost of Shipping
full color business cards at just cost of shippng,onlogixx.com,1,2005-10-26T07:31:02,2005-10-26T07:31:02,Full Color Business Cards at just cost of shippng
your employer is closing business,rediffmail.com,1,2005-10-23T01:57:43-04:00,2005-10-23T01:57:43-04:00,Your employer is closing business
can i sign up?,yahoo.com,1,2005-10-14T03:59:27-01:00,2005-10-14T03:59:27-01:00,Can I sign up?
i want to join,yahoo.com,1,2005-10-25T02:27:31+03:00,2005-10-25T02:27:31+03:00,I want to join
catalog,yahoo.com.cn,1,2005-10-25T14:17:02+08:00,2005-10-25T14:17:02+08:00,Catalog
important message from work,yyhmail.com,1,2005-10-23T00:01:40-06:00,2005-10-23T00:01:40-06:00,Important message from work
